model,seed,benign_recall,ben_recall_noSem,ben_recall_withSem,sqli_recall,xss_recall,frac_FP_that_have_sem,ben_FP_as,ben_rec_n1,ben_rec_n2,ben_rec_n3,ben_rec_n4-6,ben_rec_n7-12,ben_rec_n13+,benign_recall_dropSem,sqli_recall_dropSem,xss_recall_dropSem
hgt,42,0.5711916239050433,0.5711916239050433,,0.8746774788057501,0.9830827067669173,0.0,"{'SQLi': 4999, 'XSS': 3274}",0.5650952706293175,0.9580573951434879,0.8211111111111111,0.26617132867132864,0.5871794871794872,0.7692307692307693,0.5711916239050433,0.8449133800221157,0.9830827067669173
hgt,43,0.7256517908049551,0.7256517908049551,,0.9225027644673793,0.9868421052631579,0.0,"{'SQLi': 3343, 'XSS': 1950}",0.8376983223259697,0.9580573951434879,0.8555555555555555,0.21503496503496503,0.2512820512820513,0.6923076923076923,0.7256517908049551,0.9158680427570954,0.9868421052631579
hgt,44,0.0586741305136578,0.0586741305136578,,0.9617582012532252,0.9849624060150376,0.0,"{'SQLi': 7462, 'XSS': 10699}",0.0,0.0,0.7933333333333333,0.03802447552447553,0.2064102564102564,0.6923076923076923,0.0586741305136578,0.9507003317360855,0.9849624060150376
hgt,45,0.08282796869330845,0.08282796869330845,,0.9140250645042388,0.9849624060150376,0.0,"{'XSS': 16043, 'SQLi': 1652}",0.0,0.002207505518763797,0.9111111111111111,0.08129370629370629,0.37115384615384617,0.7692307692307693,0.08282796869330845,0.8865646885366752,0.9849624060150376
hgt,46,0.110817394910071,0.110817394910071,,0.8659233321046812,0.9849624060150376,0.0,"{'SQLi': 3391, 'XSS': 13764}",0.0,0.004415011037527594,0.8455555555555555,0.1875,0.5967948717948718,0.8461538461538461,0.110817394910071,0.822429045337265,0.9849624060150376
hgt_collapsed,42,0.6816980251904836,0.6816980251904836,,0.9470143752303722,0.981203007518797,0.0,"{'SQLi': 5602, 'XSS': 539}",0.6741061261671601,0.9705665930831494,0.8144444444444444,0.4409965034965035,0.7685897435897436,0.9230769230769231,,,
hgt_collapsed,43,0.6502358368320116,0.6502358368320116,,0.8922779211205307,0.9849624060150376,0.0,"{'SQLi': 5068, 'XSS': 1680}",0.6741061261671601,0.9852832965415746,0.8166666666666667,0.2972027972027972,0.5756410256410256,1.0,,,
hgt_collapsed,44,0.6860001036645416,0.6860001036645416,,0.887762624401032,0.9849624060150376,0.0,"{'SQLi': 4433, 'XSS': 1625}",0.6831397555606165,0.9889624724061811,0.9344444444444444,0.42788461538461536,0.6814102564102564,0.6923076923076923,,,
hgt_collapsed,45,0.5522728450733426,0.5522728450733426,,0.9494102469590859,0.981203007518797,0.0,"{'SQLi': 7042, 'XSS': 1596}",0.5346542169589311,0.9720382634289919,0.8155555555555556,0.263986013986014,0.6044871794871794,0.7692307692307693,,,
hgt_collapsed,46,0.5925983517337895,0.5925983517337895,,0.8988204939181718,0.9849624060150376,0.0,"{'SQLi': 5419, 'XSS': 2441}",0.5966750170803917,0.9720382634289919,0.8122222222222222,0.2875874125874126,0.5467948717948717,0.7692307692307693,,,
hgt_random,42,0.5861193178873166,0.5861193178873166,,0.9445263545890159,0.981203007518797,0.0,"{'SQLi': 7295, 'XSS': 690}",0.511728535641084,0.9632082413539367,0.8077777777777778,0.6442307692307693,0.6698717948717948,0.9230769230769231,,,
hgt_random,43,0.5438241849375421,0.5438241849375421,,0.8875783265757464,0.9906015037593985,0.0,"{'SQLi': 7081, 'XSS': 1720}",0.5386775981173613,0.9654157468727005,0.7977777777777778,0.2888986013986014,0.44487179487179485,0.8461538461538461,,,
hgt_random,44,0.7234748354325403,0.7234748354325403,,0.8882233689642463,0.9924812030075187,0.0,"{'SQLi': 4691, 'XSS': 644}",0.6728156076823806,0.9786607799852833,0.88,0.7648601398601399,0.7756410256410257,1.0,,,
hgt_random,45,0.5729020888405121,0.5729020888405121,,0.9729082196830078,0.9943609022556391,0.0,"{'SQLi': 6001, 'XSS': 2239}",0.5667653533743263,0.9624724061810155,0.8144444444444444,0.38592657342657344,0.4185897435897436,0.7692307692307693,,,
hgt_random,46,0.6091846783807598,0.6091846783807598,,0.8772576483597494,0.9868421052631579,0.0,"{'SQLi': 5408, 'XSS': 2132}",0.5387535109694072,0.9448123620309051,0.8555555555555555,0.6022727272727273,0.7762820512820513,1.0,,,
gatv2,42,0.6953817446742342,0.6953817446742342,,0.9283081459638777,0.9906015037593985,0.0,"{'XSS': 4750, 'SQLi': 1127}",0.6368329158126471,0.9720382634289919,0.8077777777777778,0.8116258741258742,0.7115384615384616,0.9230769230769231,,,
gatv2,43,0.635826465557456,0.635826465557456,,0.9691301142646517,0.9887218045112782,0.0,"{'SQLi': 5213, 'XSS': 1813}",0.6412358612313065,0.9632082413539367,0.8077777777777778,0.36013986013986016,0.6083333333333333,0.8461538461538461,,,
gatv2,44,0.6883325558492718,0.6883325558492718,,0.91015481017324,0.9868421052631579,0.0,"{'SQLi': 4555, 'XSS': 1458}",0.6906551279131556,0.9742457689477557,0.8222222222222222,0.43006993006993005,0.7185897435897436,1.0,,,
gatv2,45,0.7192764215000259,0.7192764215000259,,0.9648912642830815,0.9849624060150376,0.0,"{'SQLi': 5205, 'XSS': 211}",0.6507249677370379,0.9720382634289919,0.8177777777777778,0.8631993006993007,0.8076923076923077,1.0,,,
gatv2,46,0.6333903488311823,0.6333903488311823,,0.9671028381865094,0.9906015037593985,0.0,"{'SQLi': 5283, 'XSS': 1790}",0.6551279131556973,0.9661515820456218,0.8033333333333333,0.30244755244755245,0.5455128205128205,0.8461538461538461,,,
