method,seed,test_acc,test_macro_f1,heldout_correct,heldout_total,heldout_full_cells,ext_acc,ext_macro_f1,ext_weighted_f1,ext_benign_recall,ext_sqli_recall,ext_xss_recall
GATv2,42,1.0,1.0,80,90,8,0.7828992404733188,0.6312397263061933,0.8398921531611265,0.6953817446742342,0.9283081459638777,0.9906015037593985
GATv2,43,0.9997627520759194,0.9997776048861414,80,90,8,0.7598526583433843,0.639292689961488,0.7711351063181555,0.635826465557456,0.9691301142646517,0.9887218045112782
GATv2,44,0.9997627520759194,0.9997776048861414,70,90,7,0.7719790070737034,0.655592914306463,0.7836362670672303,0.6883325558492718,0.91015481017324,0.9868421052631579
GATv2,45,0.9997627520759194,0.9997776048861414,80,90,8,0.8107702839260684,0.8023612191492321,0.8140439221368747,0.7192764215000259,0.9648912642830815,0.9849624060150376
GATv2,46,0.9997627520759194,0.9997776048861414,80,90,8,0.7576360139518206,0.6322004892677565,0.7715012444514023,0.6333903488311823,0.9671028381865094,0.9906015037593985
