method,device,stage,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
GATv2,cpu,preprocessing_ms,0.2547683169759693,0.1827700007197563,0.6297770502897038,0.8642832309669752,0.0608080008532851,1.1527360002219211
GATv2,cpu,bag_construction_ms,0.0287581709999358,0.0217690003410098,0.0590999999076302,0.0822391608562611,0.0070070000219857,0.1238429995282786
GATv2,cpu,gatv2_forward_ms,1.511239932031458,1.4491474994429154,1.9168856013493492,2.297420479862921,1.1171340011060238,2.66344199917512
GATv2,cpu,end_to_end_ms,2.014488293019894,1.8453134998708265,2.8914308016283026,3.47353062032198,1.3286049997986993,4.412969999975758
GATv2,cuda,preprocessing_ms,0.1978793859998404,0.1437290002286317,0.4952025507009239,0.535470229897328,0.0544799986528232,0.9502979992248584
GATv2,cuda,bag_construction_ms,0.0222446710122312,0.0167374992088298,0.0456851006674696,0.0549569408758543,0.0054460015235235,0.0964980008575366
GATv2,cuda,gatv2_forward_ms,1.8116903610298325,1.7633650004427182,2.1524688511817653,2.728093490277387,1.6475479988002917,3.31411299885076
GATv2,cuda,end_to_end_ms,2.3099900969955343,2.1832530001120176,2.8346986502583604,3.576104059939098,1.9661059995996768,4.776211000717012
RoBERTa,cpu,tokenize_ms,0.5223278959865638,0.48751449958217563,0.7314468496133485,0.8070581494484941,0.32489300065208226,1.140110999585886
RoBERTa,cpu,forward_ms,89.67953659600244,87.09068400003162,110.53265200007445,129.98826954955803,66.67285899948183,135.1114270000835
RoBERTa,cpu,end_to_end_ms,90.23325830798511,87.64120600017122,111.09581450000405,130.5214499700378,67.13774999934685,135.73795600041194
RoBERTa,cuda,tokenize_ms,0.22640542300359812,0.20844349955950747,0.33125500021924376,0.37961457071105537,0.17765000029612565,0.4687999999077874
RoBERTa,cuda,forward_ms,7.609213671018551,7.567298000139999,8.198249600263807,8.436785730327756,6.6096379996452015,10.742860000391374
RoBERTa,cuda,end_to_end_ms,7.920756075010104,7.855355499941652,8.568149599523167,8.905719610302185,7.027820999610412,11.158459999933257
CodeBERT,cpu,tokenize_ms,0.48649612599274406,0.4542084998320206,0.6835189503362926,0.7422289692476625,0.3848790001939051,0.9800550005820696
CodeBERT,cpu,forward_ms,85.11728974300604,82.76759099999254,107.27616105000376,122.46785214982992,75.70152199969016,132.29890999991767
CodeBERT,cpu,end_to_end_ms,85.63343816200084,83.23837099987941,107.93418435023338,123.09060436996333,76.47163700039528,133.01483000032022
CodeBERT,cuda,tokenize_ms,0.21336311798859242,0.19632949988590553,0.31060835026437417,0.3382193598372396,0.17282800035900436,0.573366999560676
CodeBERT,cuda,forward_ms,7.3764845669857095,7.364671499999531,7.620986799929597,8.053733020742584,6.583992999367183,9.203810000144586
CodeBERT,cuda,end_to_end_ms,7.664390660981553,7.639043499693798,7.927168799642459,8.363214749924737,6.95870300023671,9.459894000428903
