model,seed,test_acc,heldout_correct,cs_correct,cm_correct,cs_margin,ext_wF1,ext_benign_recall,ext_sqli_recall,ext_xss_recall,P_split_pred,P_split_margin,P_intact_pred,P_intact_margin,attn_raw_ratio,attn_rel_sem,cell:Benign/field_query,cell:Benign/header_field,cell:Benign/json_field,cell:SQLi/sql_new_commands,cell:SQLi/comment_splitting,cell:SQLi/case_mixing,cell:XSS/data_uri_base64,cell:XSS/event_handler_focus,cell:XSS/svg_script_variant,sem_as_seq_cs_correct,sem_as_seq_cs_margin,sem_as_seq_cm_correct,drop_sem_cs_correct,drop_sem_cs_margin,drop_sem_cm_correct
gatv2,42,1.0,80,0,10,-1.3862892389297485,0.8398921531611265,0.6953817446742342,0.9283081459638777,0.9906015037593985,B,-1.3862894773483276,S,10.479893684387207,0.7683073,1.0044793225824833,10,10,10,10,0,10,10,10,10,,,,,,
gatv2,43,0.9997627520759194,80,0,10,-5.2696309089660645,0.7711351063181555,0.635826465557456,0.9691301142646517,0.9887218045112782,B,-5.269631385803223,S,6.75575065612793,0.77098966,1.0079312212765217,10,10,10,10,0,10,10,10,10,,,,,,
gatv2,44,0.9997627520759194,70,0,10,-0.976193904876709,0.7836362670672303,0.6883325558492718,0.91015481017324,0.9868421052631579,B,-0.9761931896209717,S,6.772745609283447,0.76664823,1.002082347869873,10,10,10,10,0,10,0,10,10,,,,,,
gatv2,45,0.9997627520759194,80,0,10,-4.388083457946777,0.8140439221368747,0.7192764215000259,0.9648912642830815,0.9849624060150376,B,-4.388083457946777,S,8.083955764770508,0.77009857,1.0066464021801949,10,10,10,10,0,10,10,10,10,,,,,,
gatv2,46,0.9997627520759194,80,0,10,-0.15740826725959778,0.7715012444514023,0.6333903488311823,0.9671028381865094,0.9906015037593985,B,-0.1574099063873291,S,11.192465782165527,0.76637757,1.0022866502404213,10,10,10,10,0,10,10,10,10,,,,,,
gat_semW,42,0.9997627520759194,90,10,10,11.498376846313477,0.7503961315802318,0.5798994453947027,0.9236085514190933,0.9849624060150376,S,11.498379707336426,S,16.86418914794922,0.76321954,0.9976909942924976,10,10,10,10,10,10,10,10,10,0.0,-6.947442054748535,0.0,0.0,-7.00142765045166,0.0
gat_semW,43,1.0,90,10,10,0.32390183210372925,0.6747108435174555,0.5372414865495257,0.7890711389605602,0.9906015037593985,S,0.323901891708374,S,3.9504966735839844,0.76943773,1.0057664960622787,10,10,10,10,10,10,10,10,10,0.0,-10.3929443359375,0.0,0.0,-10.628891944885254,0.0
gat_semW,44,1.0,90,10,10,18.3731632232666,0.715331671200013,0.5840460270564454,0.8392001474382602,0.9887218045112782,S,18.373159408569336,S,18.69357681274414,0.7708689,1.0075882375240326,10,10,10,10,10,10,10,10,10,0.0,-3.25604248046875,0.0,0.0,-3.321930408477783,0.0
gat_semW,45,0.9997627520759194,90,10,10,6.8635663986206055,0.7834457072756472,0.6728347068885088,0.9323626981201621,0.9887218045112782,S,6.86356782913208,S,11.976595878601074,0.76890665,1.005464807152748,10,10,10,10,10,10,10,10,10,0.0,-0.7041237354278564,10.0,0.0,-0.7516828775405884,10.0
gat_semW,46,1.0,90,10,10,5.506085395812988,0.6988182267791534,0.5131913129114186,0.9360486546258754,0.9887218045112782,S,5.506085395812988,S,9.04477596282959,0.76454604,0.9999640360474586,10,10,10,10,10,10,10,10,10,0.0,-0.37627214193344116,10.0,0.0,-0.47464877367019653,10.0
gat_placebo,42,0.9997627520759194,80,0,10,-4.714130401611328,0.7942439685700524,0.6959518996527237,0.9255436785845927,0.9887218045112782,B,-4.714129447937012,S,6.839011192321777,0.76471835,0.999478705227375,10,10,10,10,0,10,10,10,10,,,,,,
gat_placebo,43,1.0,80,0,10,-4.622117042541504,0.7075076077290952,0.5215363085056757,0.9855326207150755,0.9868421052631579,B,-4.622117042541504,S,9.56928539276123,0.7704946,1.0070925131440163,10,10,10,10,0,10,10,10,10,,,,,,
gat_placebo,44,0.9997627520759194,70,0,0,-4.099395751953125,0.79078572277708,0.6760483076763593,0.9718024327312937,0.9830827067669173,B,-4.099395275115967,S,8.146970748901367,0.7670492,1.0028785653412342,10,10,10,10,0,0,10,10,10,,,,,,
gat_placebo,45,0.9997627520759194,80,0,10,-2.8573765754699707,0.787135936182451,0.6812315347535376,0.9319941024695909,0.9849624060150376,B,-2.857375144958496,S,10.810821533203125,0.7719868,1.0096612460911274,10,10,10,10,0,10,10,10,10,,,,,,
gat_placebo,46,0.9997627520759194,80,0,10,-1.0120947360992432,0.755604641765105,0.6120872855439797,0.9560449686693697,0.9887218045112782,B,-1.0120946168899536,S,6.491641044616699,0.7662023,1.0020877346396446,10,10,10,10,0,10,10,10,10,,,,,,
