model,seed,cond,dataset,cell,n_correct,n_total,cs_margin
hgt,42,random,matrix,XSS/svg_script_variant,10,10,
hgt,42,random,test_split,all,2661,4215,
hgt,42,drop_sem,matrix,Benign/field_query,10,10,
hgt,42,drop_sem,matrix,Benign/header_field,10,10,
hgt,42,drop_sem,matrix,Benign/json_field,10,10,
hgt,42,drop_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,42,drop_sem,matrix,SQLi/comment_splitting,0,10,-3.5061142444610596
hgt,42,drop_sem,matrix,SQLi/case_mixing,0,10,
hgt,42,drop_sem,matrix,XSS/data_uri_base64,10,10,
hgt,42,drop_sem,matrix,XSS/event_handler_focus,10,10,
hgt,42,drop_sem,matrix,XSS/svg_script_variant,10,10,
hgt,42,drop_sem,test_split,all,4214,4215,
hgt,42,drop_skip,matrix,Benign/field_query,0,10,
hgt,42,drop_skip,matrix,Benign/header_field,0,10,
hgt,42,drop_skip,matrix,Benign/json_field,10,10,
hgt,42,drop_skip,matrix,SQLi/sql_new_commands,0,10,
hgt,42,drop_skip,matrix,SQLi/comment_splitting,0,10,-11.124619483947754
hgt,42,drop_skip,matrix,SQLi/case_mixing,0,10,
hgt,42,drop_skip,matrix,XSS/data_uri_base64,10,10,
hgt,42,drop_skip,matrix,XSS/event_handler_focus,10,10,
hgt,42,drop_skip,matrix,XSS/svg_script_variant,10,10,
hgt,42,drop_skip,test_split,all,2257,4215,
hgt,42,drop_seq,matrix,Benign/field_query,10,10,
hgt,42,drop_seq,matrix,Benign/header_field,0,10,
hgt,42,drop_seq,matrix,Benign/json_field,0,10,
hgt,42,drop_seq,matrix,SQLi/sql_new_commands,0,10,
hgt,42,drop_seq,matrix,SQLi/comment_splitting,0,10,-0.6633451581001282
hgt,42,drop_seq,matrix,SQLi/case_mixing,10,10,
hgt,42,drop_seq,matrix,XSS/data_uri_base64,10,10,
hgt,42,drop_seq,matrix,XSS/event_handler_focus,10,10,
hgt,42,drop_seq,matrix,XSS/svg_script_variant,10,10,
hgt,42,drop_seq,test_split,all,2662,4215,
hgt,43,real,matrix,Benign/field_query,10,10,
hgt,43,real,matrix,Benign/header_field,10,10,
hgt,43,real,matrix,Benign/json_field,10,10,
hgt,43,real,matrix,SQLi/sql_new_commands,10,10,
hgt,43,real,matrix,SQLi/comment_splitting,10,10,7.558915138244629
hgt,43,real,matrix,SQLi/case_mixing,10,10,
hgt,43,real,matrix,XSS/data_uri_base64,10,10,
hgt,43,real,matrix,XSS/event_handler_focus,10,10,
hgt,43,real,matrix,XSS/svg_script_variant,10,10,
hgt,43,real,test_split,all,4214,4215,
hgt,43,all_seq,matrix,Benign/field_query,0,10,
hgt,43,all_seq,matrix,Benign/header_field,10,10,
hgt,43,all_seq,matrix,Benign/json_field,10,10,
hgt,43,all_seq,matrix,SQLi/sql_new_commands,0,10,
hgt,43,all_seq,matrix,SQLi/comment_splitting,0,10,-4.205001354217529
hgt,43,all_seq,matrix,SQLi/case_mixing,0,10,
hgt,43,all_seq,matrix,XSS/data_uri_base64,10,10,
hgt,43,all_seq,matrix,XSS/event_handler_focus,10,10,
hgt,43,all_seq,matrix,XSS/svg_script_variant,10,10,
hgt,43,all_seq,test_split,all,2250,4215,
hgt,43,all_skip,matrix,Benign/field_query,0,10,
hgt,43,all_skip,matrix,Benign/header_field,0,10,
hgt,43,all_skip,matrix,Benign/json_field,0,10,
hgt,43,all_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,43,all_skip,matrix,SQLi/comment_splitting,10,10,12.952680587768555
hgt,43,all_skip,matrix,SQLi/case_mixing,10,10,
hgt,43,all_skip,matrix,XSS/data_uri_base64,10,10,
hgt,43,all_skip,matrix,XSS/event_handler_focus,0,10,
hgt,43,all_skip,matrix,XSS/svg_script_variant,10,10,
hgt,43,all_skip,test_split,all,2472,4215,
hgt,43,all_sem,matrix,Benign/field_query,0,10,
hgt,43,all_sem,matrix,Benign/header_field,0,10,
hgt,43,all_sem,matrix,Benign/json_field,0,10,
hgt,43,all_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,43,all_sem,matrix,SQLi/comment_splitting,10,10,46.37487030029297
hgt,43,all_sem,matrix,SQLi/case_mixing,10,10,
hgt,43,all_sem,matrix,XSS/data_uri_base64,0,10,
hgt,43,all_sem,matrix,XSS/event_handler_focus,0,10,
hgt,43,all_sem,matrix,XSS/svg_script_variant,0,10,
hgt,43,all_sem,test_split,all,1214,4215,
hgt,43,cyclic,matrix,Benign/field_query,0,10,
hgt,43,cyclic,matrix,Benign/header_field,0,10,
hgt,43,cyclic,matrix,Benign/json_field,0,10,
hgt,43,cyclic,matrix,SQLi/sql_new_commands,10,10,
hgt,43,cyclic,matrix,SQLi/comment_splitting,10,10,27.09408187866211
hgt,43,cyclic,matrix,SQLi/case_mixing,10,10,
hgt,43,cyclic,matrix,XSS/data_uri_base64,0,10,
hgt,43,cyclic,matrix,XSS/event_handler_focus,0,10,
hgt,43,cyclic,matrix,XSS/svg_script_variant,0,10,
hgt,43,cyclic,test_split,all,1214,4215,
hgt,43,swap_seq_skip,matrix,Benign/field_query,10,10,
hgt,43,swap_seq_skip,matrix,Benign/header_field,10,10,
hgt,43,swap_seq_skip,matrix,Benign/json_field,10,10,
hgt,43,swap_seq_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,43,swap_seq_skip,matrix,SQLi/comment_splitting,10,10,13.813692092895508
hgt,43,swap_seq_skip,matrix,SQLi/case_mixing,10,10,
hgt,43,swap_seq_skip,matrix,XSS/data_uri_base64,10,10,
hgt,43,swap_seq_skip,matrix,XSS/event_handler_focus,10,10,
hgt,43,swap_seq_skip,matrix,XSS/svg_script_variant,10,10,
hgt,43,swap_seq_skip,test_split,all,3149,4215,
hgt,43,sem_as_seq,matrix,Benign/field_query,10,10,
hgt,43,sem_as_seq,matrix,Benign/header_field,10,10,
hgt,43,sem_as_seq,matrix,Benign/json_field,10,10,
hgt,43,sem_as_seq,matrix,SQLi/sql_new_commands,10,10,
hgt,43,sem_as_seq,matrix,SQLi/comment_splitting,0,10,-1.4070897102355957
hgt,43,sem_as_seq,matrix,SQLi/case_mixing,0,10,
hgt,43,sem_as_seq,matrix,XSS/data_uri_base64,10,10,
hgt,43,sem_as_seq,matrix,XSS/event_handler_focus,10,10,
hgt,43,sem_as_seq,matrix,XSS/svg_script_variant,10,10,
hgt,43,sem_as_seq,test_split,all,4204,4215,
hgt,43,sem_as_skip,matrix,Benign/field_query,10,10,
hgt,43,sem_as_skip,matrix,Benign/header_field,10,10,
hgt,43,sem_as_skip,matrix,Benign/json_field,10,10,
hgt,43,sem_as_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,43,sem_as_skip,matrix,SQLi/comment_splitting,0,10,-0.8207079172134399
hgt,43,sem_as_skip,matrix,SQLi/case_mixing,10,10,
hgt,43,sem_as_skip,matrix,XSS/data_uri_base64,10,10,
hgt,43,sem_as_skip,matrix,XSS/event_handler_focus,10,10,
hgt,43,sem_as_skip,matrix,XSS/svg_script_variant,10,10,
hgt,43,sem_as_skip,test_split,all,4204,4215,
hgt,43,random,matrix,Benign/field_query,0,10,
hgt,43,random,matrix,Benign/header_field,0,10,
hgt,43,random,matrix,Benign/json_field,0,10,
hgt,43,random,matrix,SQLi/sql_new_commands,10,10,
hgt,43,random,matrix,SQLi/comment_splitting,10,10,24.586441040039062
hgt,43,random,matrix,SQLi/case_mixing,10,10,
hgt,43,random,matrix,XSS/data_uri_base64,0,10,
hgt,43,random,matrix,XSS/event_handler_focus,0,10,
hgt,43,random,matrix,XSS/svg_script_variant,0,10,
hgt,43,random,test_split,all,1216,4215,
hgt,43,drop_sem,matrix,Benign/field_query,10,10,
hgt,43,drop_sem,matrix,Benign/header_field,10,10,
hgt,43,drop_sem,matrix,Benign/json_field,10,10,
hgt,43,drop_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,43,drop_sem,matrix,SQLi/comment_splitting,0,10,-0.5802151560783386
hgt,43,drop_sem,matrix,SQLi/case_mixing,10,10,
hgt,43,drop_sem,matrix,XSS/data_uri_base64,10,10,
hgt,43,drop_sem,matrix,XSS/event_handler_focus,10,10,
hgt,43,drop_sem,matrix,XSS/svg_script_variant,10,10,
hgt,43,drop_sem,test_split,all,4204,4215,
hgt,43,drop_skip,matrix,Benign/field_query,0,10,
hgt,43,drop_skip,matrix,Benign/header_field,10,10,
hgt,43,drop_skip,matrix,Benign/json_field,10,10,
hgt,43,drop_skip,matrix,SQLi/sql_new_commands,0,10,
hgt,43,drop_skip,matrix,SQLi/comment_splitting,0,10,-7.3049750328063965
hgt,43,drop_skip,matrix,SQLi/case_mixing,0,10,
hgt,43,drop_skip,matrix,XSS/data_uri_base64,10,10,
hgt,43,drop_skip,matrix,XSS/event_handler_focus,10,10,
hgt,43,drop_skip,matrix,XSS/svg_script_variant,10,10,
hgt,43,drop_skip,test_split,all,2264,4215,
hgt,43,drop_seq,matrix,Benign/field_query,0,10,
hgt,43,drop_seq,matrix,Benign/header_field,0,10,
hgt,43,drop_seq,matrix,Benign/json_field,0,10,
hgt,43,drop_seq,matrix,SQLi/sql_new_commands,10,10,
hgt,43,drop_seq,matrix,SQLi/comment_splitting,10,10,27.096939086914062
hgt,43,drop_seq,matrix,SQLi/case_mixing,10,10,
hgt,43,drop_seq,matrix,XSS/data_uri_base64,10,10,
hgt,43,drop_seq,matrix,XSS/event_handler_focus,0,10,
hgt,43,drop_seq,matrix,XSS/svg_script_variant,10,10,
hgt,43,drop_seq,test_split,all,2574,4215,
hgt,44,real,matrix,Benign/field_query,10,10,
hgt,44,real,matrix,Benign/header_field,10,10,
hgt,44,real,matrix,Benign/json_field,10,10,
hgt,44,real,matrix,SQLi/sql_new_commands,10,10,
hgt,44,real,matrix,SQLi/comment_splitting,10,10,2.224539041519165
hgt,44,real,matrix,SQLi/case_mixing,10,10,
hgt,44,real,matrix,XSS/data_uri_base64,10,10,
hgt,44,real,matrix,XSS/event_handler_focus,10,10,
hgt,44,real,matrix,XSS/svg_script_variant,10,10,
hgt,44,real,test_split,all,4215,4215,
hgt,44,all_seq,matrix,Benign/field_query,0,10,
hgt,44,all_seq,matrix,Benign/header_field,0,10,
hgt,44,all_seq,matrix,Benign/json_field,0,10,
hgt,44,all_seq,matrix,SQLi/sql_new_commands,10,10,
hgt,44,all_seq,matrix,SQLi/comment_splitting,10,10,2.5096640586853027
hgt,44,all_seq,matrix,SQLi/case_mixing,10,10,
hgt,44,all_seq,matrix,XSS/data_uri_base64,10,10,
hgt,44,all_seq,matrix,XSS/event_handler_focus,10,10,
hgt,44,all_seq,matrix,XSS/svg_script_variant,10,10,
hgt,44,all_seq,test_split,all,2257,4215,
hgt,44,all_skip,matrix,Benign/field_query,10,10,
hgt,44,all_skip,matrix,Benign/header_field,10,10,
hgt,44,all_skip,matrix,Benign/json_field,10,10,
hgt,44,all_skip,matrix,SQLi/sql_new_commands,0,10,
hgt,44,all_skip,matrix,SQLi/comment_splitting,0,10,-7.538018226623535
hgt,44,all_skip,matrix,SQLi/case_mixing,0,10,
hgt,44,all_skip,matrix,XSS/data_uri_base64,10,10,
hgt,44,all_skip,matrix,XSS/event_handler_focus,10,10,
hgt,44,all_skip,matrix,XSS/svg_script_variant,10,10,
hgt,44,all_skip,test_split,all,3391,4215,
hgt,44,all_sem,matrix,Benign/field_query,0,10,
hgt,44,all_sem,matrix,Benign/header_field,0,10,
hgt,44,all_sem,matrix,Benign/json_field,0,10,
hgt,44,all_sem,matrix,SQLi/sql_new_commands,10,10,
hgt,44,all_sem,matrix,SQLi/comment_splitting,10,10,12.487531661987305
hgt,44,all_sem,matrix,SQLi/case_mixing,10,10,
hgt,44,all_sem,matrix,XSS/data_uri_base64,0,10,
hgt,44,all_sem,matrix,XSS/event_handler_focus,0,10,
hgt,44,all_sem,matrix,XSS/svg_script_variant,0,10,
hgt,44,all_sem,test_split,all,1214,4215,
hgt,44,cyclic,matrix,Benign/field_query,0,10,
hgt,44,cyclic,matrix,Benign/header_field,0,10,
hgt,44,cyclic,matrix,Benign/json_field,0,10,
hgt,44,cyclic,matrix,SQLi/sql_new_commands,10,10,
hgt,44,cyclic,matrix,SQLi/comment_splitting,10,10,6.645390510559082
hgt,44,cyclic,matrix,SQLi/case_mixing,10,10,
hgt,44,cyclic,matrix,XSS/data_uri_base64,0,10,
hgt,44,cyclic,matrix,XSS/event_handler_focus,0,10,
hgt,44,cyclic,matrix,XSS/svg_script_variant,0,10,
hgt,44,cyclic,test_split,all,1216,4215,
