
--- NEW SESSION: Sat Mar 28 16:54:01 2026 ---
Epoch 065 | Loss: 0.0718 | Acc: 0.9729 | LR: 0.000063 | Time: 3.7s
Epoch 066 | Loss: 0.0738 | Acc: 0.9738 | LR: 0.000063 | Time: 3.7s
Epoch 067 | Loss: 0.0705 | Acc: 0.9731 | LR: 0.000063 | Time: 3.7s
Epoch 068 | Loss: 0.0708 | Acc: 0.9758 | LR: 0.000063 | Time: 3.7s
Epoch 069 | Loss: 0.0694 | Acc: 0.9747 | LR: 0.000063 | Time: 3.7s
Epoch 070 | Loss: 0.0702 | Acc: 0.9733 | LR: 0.000063 | Time: 3.7s
Epoch 071 | Loss: 0.0687 | Acc: 0.9733 | LR: 0.000063 | Time: 3.7s
Epoch 072 | Loss: 0.0698 | Acc: 0.9713 | LR: 0.000063 | Time: 3.7s
Epoch 073 | Loss: 0.0696 | Acc: 0.9751 | LR: 0.000063 | Time: 3.7s
Epoch 074 | Loss: 0.0667 | Acc: 0.9756 | LR: 0.000031 | Time: 3.7s
Epoch 075 | Loss: 0.0616 | Acc: 0.9747 | LR: 0.000031 | Time: 3.7s
Epoch 076 | Loss: 0.0624 | Acc: 0.9780 | LR: 0.000031 | Time: 3.6s
Epoch 077 | Loss: 0.0632 | Acc: 0.9756 | LR: 0.000031 | Time: 3.6s
Epoch 078 | Loss: 0.0625 | Acc: 0.9778 | LR: 0.000031 | Time: 3.9s
Epoch 079 | Loss: 0.0617 | Acc: 0.9758 | LR: 0.000031 | Time: 3.9s
Epoch 080 | Loss: 0.0617 | Acc: 0.9749 | LR: 0.000031 | Time: 3.9s
Epoch 081 | Loss: 0.0620 | Acc: 0.9753 | LR: 0.000031 | Time: 3.8s
Epoch 082 | Loss: 0.0601 | Acc: 0.9773 | LR: 0.000016 | Time: 3.8s
Epoch 083 | Loss: 0.0591 | Acc: 0.9780 | LR: 0.000016 | Time: 3.7s
Epoch 084 | Loss: 0.0599 | Acc: 0.9776 | LR: 0.000016 | Time: 3.7s
Epoch 085 | Loss: 0.0576 | Acc: 0.9769 | LR: 0.000016 | Time: 3.7s
Epoch 086 | Loss: 0.0590 | Acc: 0.9747 | LR: 0.000016 | Time: 3.5s
Epoch 087 | Loss: 0.0567 | Acc: 0.9771 | LR: 0.000016 | Time: 3.5s
Epoch 088 | Loss: 0.0570 | Acc: 0.9778 | LR: 0.000008 | Time: 3.7s
Epoch 089 | Loss: 0.0560 | Acc: 0.9780 | LR: 0.000008 | Time: 3.7s
Epoch 090 | Loss: 0.0562 | Acc: 0.9776 | LR: 0.000008 | Time: 3.7s
Epoch 091 | Loss: 0.0561 | Acc: 0.9771 | LR: 0.000008 | Time: 3.7s
Epoch 092 | Loss: 0.0562 | Acc: 0.9782 | LR: 0.000008 | Time: 3.7s
Epoch 093 | Loss: 0.0559 | Acc: 0.9773 | LR: 0.000008 | Time: 3.7s
Epoch 094 | Loss: 0.0563 | Acc: 0.9749 | LR: 0.000008 | Time: 3.7s
Epoch 095 | Loss: 0.0553 | Acc: 0.9767 | LR: 0.000008 | Time: 3.7s
Epoch 096 | Loss: 0.0567 | Acc: 0.9767 | LR: 0.000008 | Time: 3.7s
Epoch 097 | Loss: 0.0560 | Acc: 0.9773 | LR: 0.000008 | Time: 3.7s
Epoch 098 | Loss: 0.0562 | Acc: 0.9771 | LR: 0.000004 | Time: 3.7s
Epoch 099 | Loss: 0.0547 | Acc: 0.9776 | LR: 0.000004 | Time: 3.7s
Epoch 100 | Loss: 0.0551 | Acc: 0.9784 | LR: 0.000004 | Time: 3.7s
